"Step","Conv-Plain-56Layers - gradients/layer3.0.conv1.weight"
"638","{""values"":[1,1,2,3,5,6,7,7,10,13,23,26,39,53,62,79,113,139,174,223,285,402,534,694,888,1113,1392,1545,1779,1696,1453,1224,1026,817,642,491,374,258,198,140,107,95,56,47,34,31,32,23,20,8,13,10,7,1,5,3,0,0,0,2,0,0,0,1],""_type"":""histogram"",""bins"":[-0.0051941052079200745,-0.005013806301576551,-0.004833507395233028,-0.004653208488889504,-0.004472909582545981,-0.004292610676202457,-0.004112311769858934,-0.003932012863515411,-0.003751713957171887,-0.0035714150508283637,-0.0033911161444848403,-0.003210817238141317,-0.0030305183317977935,-0.00285021942545427,-0.0026699205191107467,-0.0024896216127672233,-0.0023093227064237,-0.0021290238000801764,-0.001948724893736653,-0.0017684259873931296,-0.0015881270810496062,-0.0014078281747060828,-0.0012275292683625594,-0.001047230362019036,-0.0008669314556755126,-0.0006866325493319891,-0.0005063336429884657,-0.0003260347366449423,-0.0001457358303014189,0.00003456307604210451,0.00021486198238562793,0.00039516088872915134,0.0005754597950726748,0.0007557587014161982,0.0009360576077597216,0.001116356514103245,0.0012966554204467684,0.0014769543267902918,0.0016572532331338152,0.0018375521394773386,0.002017851045820862,0.0021981499521643855,0.002378448858507909,0.0025587477648514323,0.0027390466711949557,0.002919345577538479,0.0030996444838820025,0.003279943390225526,0.0034602422965690494,0.0036405412029125728,0.003820840109256096,0.00400113901559962,0.004181437921943143,0.004361736828286666,0.00454203573463019,0.004722334640973713,0.004902633547317237,0.00508293245366076,0.0052632313600042835,0.005443530266347807,0.00562382917269133,0.005804128079034854,0.005984426985378377,0.0061647258917219006,0.006345024798065424]}"
"647","{""values"":[1,2,4,0,2,4,7,9,11,26,22,36,40,48,95,100,137,161,230,302,380,483,590,707,859,980,1153,1283,1334,1350,1351,1208,1113,879,711,599,500,356,287,240,193,174,106,94,69,60,37,26,18,22,6,11,5,3,3,1,0,1,1,1,0,0,0,1],""_type"":""histogram"",""bins"":[-0.004700751043856144,-0.004539639048743993,-0.004378527053631842,-0.004217415058519691,-0.00405630306340754,-0.0038951910682953894,-0.0037340790731832385,-0.0035729670780710876,-0.0034118550829589367,-0.003250743087846786,-0.003089631092734635,-0.002928519097622484,-0.002767407102510333,-0.002606295107398182,-0.0024451831122860312,-0.0022840711171738803,-0.0021229591220617294,-0.0019618471269495785,-0.0018007351318374276,-0.0016396231367252767,-0.0014785111416131258,-0.001317399146500975,-0.001156287151388824,-0.000995175156276673,-0.0008340631611645222,-0.0006729511660523713,-0.0005118391709402204,-0.00035072717582806945,-0.00018961518071591854,-0.000028503185603767633,0.00013260880950838327,0.0002937208046205342,0.0004548327997326851,0.000615944794844836,0.0007770567899569869,0.0009381687850691378,0.0010992807801812887,0.0012603927752934396,0.0014215047704055905,0.0015826167655177414,0.0017437287606298923,0.0019048407557420433,0.002065952750854194,0.002227064745966345,0.002388176741078496,0.002549288736190647,0.002710400731302798,0.0028715127264149487,0.0030326247215270996,0.0031937367166392505,0.0033548487117514014,0.0035159607068635523,0.0036770727019757032,0.003838184697087854,0.003999296692200005,0.004160408687312156,0.004321520682424307,0.004482632677536458,0.004643744672648609,0.00480485666776076,0.0049659686628729105,0.005127080657985061,0.005288192653097212,0.005449304648209363,0.005610416643321514]}"
"656","{""_type"":""histogram"",""values"":[1,0,0,1,0,0,3,1,2,7,8,14,21,30,33,73,80,128,195,272,363,470,680,862,1149,1370,1702,1762,1906,1609,1395,1170,783,680,483,338,209,172,130,86,85,48,30,27,11,12,10,6,3,4,1,2,1,0,1,0,0,1,0,1,0,0,0,1],""bins"":[-0.0057409293949604034,-0.005536435164685827,-0.00533194093441125,-0.005127446704136673,-0.004922952473862097,-0.00471845824358752,-0.004513964013312943,-0.004309469783038367,-0.00410497555276379,-0.003900481322489213,-0.0036959870922146365,-0.00349149286194006,-0.003286998631665483,-0.0030825044013909064,-0.0028780101711163297,-0.002673515940841753,-0.0024690217105671763,-0.0022645274802925996,-0.002060033250018023,-0.0018555390197434463,-0.0016510447894688696,-0.0014465505591942929,-0.0012420563289197162,-0.0010375620986451395,-0.0008330678683705628,-0.0006285736380959861,-0.0004240794078214094,-0.0002195851775468327,-0.000015090947272256017,0.00018940328300232068,0.00039389751327689737,0.0005983917435514741,0.0008028859738260508,0.0010073802041006275,0.0012118744343752041,0.0014163686646497808,0.0016208628949243575,0.0018253571251989342,0.002029851355473511,0.0022343455857480876,0.0024388398160226643,0.002643334046297241,0.0028478282765718177,0.0030523225068463944,0.003256816737120971,0.0034613109673955478,0.0036658051976701245,0.003870299427944701,0.004074793658219278,0.0042792878884938546,0.004483782118768431,0.004688276349043008,0.004892770579317585,0.005097264809592161,0.005301759039866738,0.005506253270141315,0.005710747500415891,0.005915241730690468,0.006119735960965045,0.0063242301912396215,0.006528724421514198,0.006733218651788775,0.006937712882063352,0.007142207112337928,0.007346701342612505]}"
"666","{""values"":[1,0,1,0,1,2,3,3,8,12,12,27,25,35,45,55,61,99,127,162,220,251,366,451,571,755,980,1158,1419,1589,1662,1572,1459,1209,976,750,558,449,325,261,210,129,129,85,49,51,40,20,21,18,8,6,2,2,0,1,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[-0.006320314481854439,-0.006113229705078993,-0.005906144928303547,-0.005699060151528101,-0.005491975374752656,-0.00528489059797721,-0.005077805821201764,-0.004870721044426318,-0.0046636362676508725,-0.004456551490875427,-0.004249466714099981,-0.004042381937324535,-0.0038352971605490893,-0.0036282123837736435,-0.0034211276069981977,-0.003214042830222752,-0.003006958053447306,-0.0027998732766718604,-0.0025927884998964146,-0.002385703723120969,-0.002178618946345523,-0.001971534169570077,-0.0017644493927946314,-0.0015573646160191856,-0.0013502798392437398,-0.001143195062468294,-0.0009361102856928483,-0.0007290255089174025,-0.0005219407321419567,-0.0003148559553665109,-0.00010777117859106511,0.00009931359818438068,0.00030639837495982647,0.0005134831517352723,0.000720567928510718,0.0009276527052861638,0.0011347374820616096,0.0013418222588370554,0.0015489070356125012,0.001755991812387947,0.0019630765891633928,0.0021701613659388386,0.0023772461427142844,0.00258433091948973,0.002791415696265176,0.0029985004730406217,0.0032055852498160675,0.0034126700265915133,0.003619754803366959,0.003826839580142405,0.004033924356917851,0.0042410091336932965,0.004448093910468742,0.004655178687244188,0.004862263464019634,0.00506934824079508,0.005276433017570525,0.005483517794345971,0.005690602571121417,0.005897687347896863,0.0061047721246723086,0.006311856901447754,0.0065189416782232,0.006726026454998646,0.006933111231774092]}"
"675","{""_type"":""histogram"",""values"":[1,0,0,1,2,1,4,1,2,5,9,9,13,16,19,28,37,51,72,101,139,192,215,315,442,467,631,802,961,1121,1290,1403,1486,1390,1344,1132,937,816,678,522,442,318,260,207,140,111,65,60,44,34,20,17,14,8,11,6,5,7,2,1,1,1,2,1],""bins"":[-0.004950680769979954,-0.004799718051799573,-0.004648755333619192,-0.0044977926154388115,-0.004346829897258431,-0.00419586717907805,-0.004044904460897669,-0.0038939417427172884,-0.0037429790245369077,-0.003592016306356527,-0.003441053588176146,-0.0032900908699957654,-0.0031391281518153846,-0.002988165433635004,-0.002837202715454623,-0.0026862399972742423,-0.0025352772790938616,-0.002384314560913481,-0.0022333518427331,-0.0020823891245527193,-0.0019314264063723385,-0.0017804636881919578,-0.001629500970011577,-0.0014785382518311962,-0.0013275755336508155,-0.0011766128154704347,-0.001025650097290054,-0.0008746873791096732,-0.0007237246609292924,-0.0005727619427489117,-0.0004217992245685309,-0.00027083650638815016,-0.0001198737882077694,0.00003108892997261137,0.00018205164815299213,0.0003330143663333729,0.00048397708451375365,0.0006349398026941344,0.0007859025208745152,0.0009368652390548959,0.0010878279572352767,0.0012387906754156575,0.0013897533935960382,0.001540716111776419,0.0016916788299567997,0.0018426415481371805,0.0019936042663175613,0.002144566984497942,0.002295529702678323,0.0024464924208587036,0.0025974551390390843,0.002748417857219465,0.002899380575399846,0.0030503432935802266,0.0032013060117606074,0.003352268729940988,0.003503231448121369,0.0036541941663017496,0.0038051568844821304,0.003956119602662511,0.004107082320842892,0.004258045039023273,0.0044090077572036535,0.004559970475384034,0.004710933193564415]}"
"684","{""values"":[3,0,0,3,5,3,6,5,8,12,9,16,17,22,29,37,31,54,83,107,154,178,218,293,396,500,587,696,928,1032,1218,1400,1482,1490,1319,1220,1009,825,639,508,420,321,241,185,154,139,107,86,69,34,41,18,21,20,9,3,9,6,0,4,0,1,1,1],""_type"":""histogram"",""bins"":[-0.006154889706522226,-0.005967334807792213,-0.005779779909062199,-0.005592225010332186,-0.005404670111602172,-0.005217115212872159,-0.005029560314142145,-0.004842005415412132,-0.004654450516682118,-0.004466895617952105,-0.004279340719222091,-0.004091785820492078,-0.003904230921762064,-0.0037166760230320506,-0.003529121124302037,-0.0033415662255720235,-0.00315401132684201,-0.0029664564281119965,-0.002778901529381983,-0.0025913466306519695,-0.002403791731921956,-0.0022162368331919424,-0.002028681934461929,-0.0018411270357319154,-0.0016535721370019019,-0.0014660172382718883,-0.0012784623395418748,-0.0010909074408118613,-0.0009033525420818478,-0.0007157976433518343,-0.0005282427446218207,-0.00034068784589180723,-0.0001531329471617937,0.00003442195156821981,0.00022197685029823333,0.00040953174902824685,0.0005970866477582604,0.0007846415464882739,0.0009721964452182874,0.001159751343948301,0.0013473062426783144,0.001534861141408328,0.0017224160401383415,0.001909970938868355,0.0020975258375983685,0.002285080736328382,0.0024726356350583956,0.002660190533788409,0.0028477454325184226,0.003035300331248436,0.0032228552299784496,0.003410410128708463,0.0035979650274384767,0.00378551992616849,0.003973074824898504,0.004160629723628517,0.004348184622358531,0.004535739521088544,0.004723294419818558,0.004910849318548571,0.005098404217278585,0.005285959116008598,0.005473514014738612,0.005661068913468625,0.005848623812198639]}"
"694","{""values"":[2,0,1,0,2,0,2,1,1,0,3,5,13,11,13,21,20,29,39,53,70,107,108,180,218,279,382,514,625,724,1027,1133,1412,1524,1572,1563,1377,1148,945,771,625,470,365,272,211,136,119,75,64,58,39,20,31,13,10,5,8,5,3,4,0,2,0,2],""_type"":""histogram"",""bins"":[-0.005480662919580936,-0.005322480763425119,-0.005164298607269302,-0.005006116451113485,-0.004847934294957668,-0.00468975213880185,-0.004531569982646033,-0.004373387826490216,-0.004215205670334399,-0.0040570235141785815,-0.0038988413580227643,-0.003740659201866947,-0.00358247704571113,-0.0034242948895553127,-0.0032661127333994955,-0.0031079305772436783,-0.002949748421087861,-0.002791566264932044,-0.0026333841087762266,-0.0024752019526204094,-0.0023170197964645922,-0.002158837640308775,-0.002000655484152958,-0.0018424733279971406,-0.0016842911718413234,-0.0015261090156855062,-0.001367926859529689,-0.0012097447033738717,-0.0010515625472180545,-0.0008933803910622373,-0.0007351982349064201,-0.0005770160787506029,-0.0004188339225947857,-0.0002606517664389685,-0.00010246961028315127,0.00005571254587266594,0.00021389470202848315,0.00037207685818430036,0.0005302590143401176,0.0006884411704959348,0.000846623326651752,0.0010048054828075692,0.0011629876389633864,0.0013211697951192036,0.0014793519512750208,0.001637534107430838,0.0017957162635866553,0.0019538984197424725,0.0021120805758982897,0.002270262732054107,0.002428444888209924,0.0025866270443657413,0.0027448092005215585,0.0029029913566773757,0.003061173512833193,0.00321935566898901,0.0033775378251448274,0.0035357199813006446,0.003693902137456462,0.003852084293612279,0.004010266449768096,0.004168448605923913,0.004326630762079731,0.004484812918235548,0.004642995074391365]}"
"703","{""values"":[1,2,1,2,0,1,1,1,5,0,1,10,12,12,21,35,36,52,60,74,94,130,189,232,317,446,566,724,906,1164,1358,1552,1649,1690,1487,1233,1045,827,642,468,338,278,198,157,106,84,61,45,36,22,22,9,9,7,6,1,1,3,0,0,1,1,0,1],""_type"":""histogram"",""bins"":[-0.006963435560464859,-0.006750014334102161,-0.0065365931077394634,-0.006323171881376766,-0.006109750655014068,-0.00589632942865137,-0.005682908202288672,-0.0054694869759259745,-0.005256065749563277,-0.005042644523200579,-0.004829223296837881,-0.004615802070475183,-0.004402380844112486,-0.004188959617749788,-0.00397553839138709,-0.0037621171650243923,-0.0035486959386616945,-0.0033352747122989967,-0.003121853485936299,-0.002908432259573601,-0.0026950110332109034,-0.0024815898068482056,-0.002268168580485508,-0.00205474735412281,-0.0018413261277601123,-0.0016279049013974145,-0.0014144836750347167,-0.001201062448672019,-0.0009876412223093212,-0.0007742199959466234,-0.0005607987695839256,-0.0003473775432212278,-0.00013395631685853004,0.00007946490950416774,0.0002928861358668655,0.0005063073622295633,0.0007197285885922611,0.0009331498149549589,0.0011465710413176566,0.0013599922676803544,0.0015734134940430522,0.00178683472040575,0.0020002559467684478,0.0022136771731311455,0.0024270983994938433,0.002640519625856541,0.002853940852219239,0.0030673620785819367,0.0032807833049446344,0.0034942045313073322,0.00370762575767003,0.003921046984032728,0.0041344682103954256,0.004347889436758123,0.004561310663120821,0.004774731889483519,0.004988153115846217,0.0052015743422089145,0.005414995568571612,0.00562841679493431,0.005841838021297008,0.006055259247659706,0.006268680474022403,0.006482101700385101,0.006695522926747799]}"
"712","{""_type"":""histogram"",""values"":[1,0,0,1,0,1,0,2,2,4,6,9,7,10,18,28,28,58,55,73,116,156,184,269,352,465,536,713,983,1247,1379,1570,1656,1538,1414,1223,959,757,606,542,345,281,204,151,138,97,68,63,33,22,23,12,7,5,3,2,1,0,5,2,1,0,0,1],""bins"":[-0.006334569770842791,-0.006140088546089828,-0.005945607321336865,-0.005751126096583903,-0.00555664487183094,-0.005362163647077978,-0.005167682422325015,-0.0049732011975720525,-0.00477871997281909,-0.004584238748066127,-0.004389757523313165,-0.004195276298560202,-0.0040007950738072395,-0.003806313849054277,-0.0036118326243013144,-0.0034173513995483518,-0.003222870174795389,-0.0030283889500424266,-0.002833907725289464,-0.0026394265005365014,-0.002444945275783539,-0.0022504640510305762,-0.0020559828262776136,-0.001861501601524651,-0.0016670203767716885,-0.0014725391520187259,-0.0012780579272657633,-0.0010835767025128007,-0.0008890954777598381,-0.0006946142530068755,-0.0005001330282539129,-0.00030565180350095034,-0.00011117057874798775,0.00008331064600497484,0.00027779187075793743,0.0004722730955109,0.0006667543202638626,0.0008612355450168252,0.0010557167697697878,0.0012501979945227504,0.001444679219275713,0.0016391604440286756,0.0018336416687816381,0.0020281228935346007,0.0022226041182875633,0.002417085343040526,0.0026115665677934885,0.002806047792546451,0.0030005290172994137,0.0031950102420523763,0.003389491466805339,0.0035839726915583014,0.003778453916311264,0.003972935141064227,0.004167416365817189,0.004361897590570152,0.004556378815323114,0.004750860040076077,0.00494534126482904,0.005139822489582002,0.005334303714334965,0.005528784939087927,0.00572326616384089,0.0059177473885938525,0.006112228613346815]}"
"721","{""_type"":""histogram"",""values"":[2,0,0,1,3,2,3,6,7,11,10,10,25,21,35,44,65,82,95,122,162,200,259,339,361,473,583,726,856,965,1043,1178,1180,1253,1195,1084,986,847,789,650,544,476,394,277,226,205,165,111,88,56,61,36,29,23,15,17,9,12,5,4,1,4,0,1],""bins"":[-0.004437259864062071,-0.004302754248783458,-0.004168248633504845,-0.004033743018226232,-0.0038992374029476196,-0.0037647317876690067,-0.003630226172390394,-0.003495720557111781,-0.0033612149418331683,-0.0032267093265545554,-0.0030922037112759426,-0.00295769809599733,-0.002823192480718717,-0.002688686865440104,-0.0025541812501614913,-0.0024196756348828785,-0.0022851700196042657,-0.002150664404325653,-0.00201615878904704,-0.0018816531737684272,-0.0017471475584898144,-0.0016126419432112016,-0.0014781363279325888,-0.001343630712653976,-0.0012091250973753631,-0.0010746194820967503,-0.0009401138668181375,-0.0008056082515395246,-0.0006711026362609118,-0.000536597020982299,-0.0004020914057036862,-0.00026758579042507336,-0.00013308017514646053,0.0000014254401321522892,0.0001359310554107651,0.00027043667068937793,0.00040494228596799076,0.0005394479012466036,0.0006739535165252164,0.0008084591318038292,0.000942964747082442,0.0010774703623610549,0.0012119759776396677,0.0013464815929182805,0.0014809872081968933,0.0016154928234755062,0.001749998438754119,0.0018845040540327318,0.0020190096693113446,0.0021535152845899574,0.0022880208998685703,0.002422526515147183,0.002557032130425796,0.0026915377457044087,0.0028260433609830216,0.0029605489762616344,0.003095054591540247,0.00322956020681886,0.003364065822097473,0.0034985714373760857,0.0036330770526546985,0.0037675826679333113,0.003902088283211924,0.004036593898490537,0.00417109951376915]}"
"731","{""values"":[1,0,0,0,0,2,0,1,0,2,1,0,1,6,1,10,8,12,15,25,30,43,68,83,132,154,223,300,352,511,630,795,1011,1186,1393,1494,1548,1508,1365,1194,971,817,615,468,406,290,219,165,109,81,56,35,28,24,9,6,12,8,2,1,3,0,0,2],""_type"":""histogram"",""bins"":[-0.007524904329329729,-0.007320677694224287,-0.007116451059118845,-0.006912224424013402,-0.00670799778890796,-0.006503771153802518,-0.0062995445186970755,-0.006095317883591633,-0.005891091248486191,-0.005686864613380749,-0.0054826379782753065,-0.005278411343169864,-0.005074184708064422,-0.00486995807295898,-0.0046657314378535375,-0.004461504802748095,-0.004257278167642653,-0.004053051532537211,-0.0038488248974317685,-0.0036445982623263262,-0.003440371627220884,-0.0032361449921154417,-0.0030319183570099995,-0.002827691721904557,-0.002623465086799115,-0.0024192384516936727,-0.0022150118165882304,-0.002010785181482788,-0.001806558546377346,-0.0016023319112719037,-0.0013981052761664614,-0.0011938786410610192,-0.000989652005955577,-0.0007854253708501346,-0.0005811987357446924,-0.00037697210063925013,-0.00017274546553380787,0.00003148116957163438,0.00023570780467707664,0.0004399344397825189,0.0006441610748879611,0.0008483877099934034,0.0010526143450988457,0.001256840980204288,0.0014610676153097302,0.0016652942504151724,0.0018695208855206147,0.002073747520626057,0.002277974155731499,0.0024822007908369415,0.0026864274259423837,0.002890654061047826,0.0030948806961532682,0.0032991073312587105,0.0035033339663641527,0.003707560601469595,0.003911787236575037,0.0041160138716804795,0.004320240506785922,0.004524467141891364,0.004728693776996806,0.0049329204121022485,0.005137147047207691,0.005341373682313133,0.005545600317418575]}"
"741","{""_type"":""histogram"",""values"":[1,0,0,2,3,6,0,7,3,7,10,20,19,23,41,53,78,88,164,244,332,422,605,797,1043,1459,1722,1915,1942,1759,1465,1153,844,672,461,312,218,149,97,79,61,41,22,25,9,10,7,7,8,7,6,3,2,1,2,1,0,1,0,2,1,0,0,1],""bins"":[-0.0052763428539037704,-0.0050896206448669545,-0.004902898435830139,-0.004716176226793323,-0.004529454017756507,-0.004342731808719691,-0.004156009599682875,-0.003969287390646059,-0.003782565181609243,-0.0035958429725724272,-0.0034091207635356113,-0.0032223985544987954,-0.0030356763454619795,-0.0028489541364251636,-0.0026622319273883477,-0.0024755097183515318,-0.002288787509314716,-0.0021020653002779,-0.001915343091241084,-0.0017286208822042681,-0.0015418986731674522,-0.0013551764641306363,-0.0011684542550938204,-0.0009817320460570045,-0.0007950098370201886,-0.0006082876279833727,-0.00042156541894655675,-0.00023484320990974084,-0.000048121000872924924,0.000138601208163891,0.0003253234172007069,0.0005120456262375228,0.0006987678352743387,0.0008854900443111546,0.0010722122533479705,0.0012589344623847865,0.0014456566714216024,0.0016323788804584183,0.0018191010894952342,0.00200582329853205,0.002192545507568866,0.002379267716605682,0.002565989925642498,0.0027527121346793137,0.0029394343437161297,0.0031261565527529456,0.0033128787617897615,0.0034996009708265774,0.0036863231798633933,0.0038730453889002092,0.004059767597937025,0.004246489806973841,0.004433212016010657,0.004619934225047473,0.004806656434084289,0.004993378643121105,0.005180100852157921,0.0053668230611947365,0.005553545270231552,0.005740267479268368,0.005926989688305184,0.006113711897342,0.006300434106378816,0.006487156315415632,0.006673878524452448]}"
"750","{""_type"":""histogram"",""values"":[1,2,0,3,0,1,1,15,10,20,8,13,21,29,36,58,83,115,149,183,237,326,439,578,798,1012,1186,1409,1636,1688,1586,1398,1274,913,787,567,432,310,249,208,152,92,79,75,61,50,32,33,20,9,15,7,7,4,4,2,3,0,1,1,2,1,0,1],""bins"":[-0.00498848594725132,-0.004819715897610877,-0.0046509458479704335,-0.00448217579832999,-0.004313405748689547,-0.004144635699049104,-0.003975865649408661,-0.0038070955997682177,-0.0036383255501277745,-0.0034695555004873313,-0.003300785450846888,-0.003132015401206445,-0.0029632453515660018,-0.0027944753019255586,-0.0026257052522851154,-0.0024569352026446722,-0.002288165153004229,-0.002119395103363786,-0.0019506250537233427,-0.0017818550040828995,-0.0016130849544424564,-0.0014443149048020132,-0.00127554485516157,-0.0011067748055211268,-0.0009380047558806837,-0.0007692347062402405,-0.0006004646565997973,-0.00043169460695935413,-0.00026292455731891096,-0.00009415450767846778,0.0000746155419619754,0.00024338559160241857,0.00041215564124286175,0.0005809256908833049,0.0007496957405237481,0.0009184657901641913,0.0010872358398046345,0.0012560058894450776,0.0014247759390855208,0.001593545988725964,0.0017623160383664072,0.0019310860880068503,0.0020998561376472935,0.0022686261872877367,0.00243739623692818,0.002606166286568623,0.002774936336209066,0.0029437063858495094,0.0031124764354899526,0.0032812464851303957,0.003450016534770839,0.003618786584411282,0.0037875566340517253,0.0039563266836921684,0.004125096733332612,0.004293866782973055,0.004462636832613498,0.004631406882253941,0.004800176931894384,0.0049689469815348275,0.005137717031175271,0.005306487080815714,0.005475257130456157,0.0056440271800966,0.005812797229737043]}"
"760","{""_type"":""histogram"",""values"":[1,1,0,3,3,2,4,2,17,15,10,19,31,24,39,72,123,164,191,267,355,458,627,841,1048,1350,1549,1695,1647,1636,1415,1249,969,721,501,389,279,215,135,116,68,51,42,24,14,15,7,7,6,5,3,2,0,0,2,0,1,0,1,0,0,0,0,1],""bins"":[-0.005510111805051565,-0.005315436748787761,-0.005120761692523956,-0.004926086636260152,-0.004731411579996347,-0.004536736523732543,-0.0043420614674687386,-0.004147386411204934,-0.00395271135494113,-0.0037580362986773252,-0.003563361242413521,-0.0033686861861497164,-0.003174011129885912,-0.0029793360736221075,-0.002784661017358303,-0.0025899859610944986,-0.002395310904830694,-0.0022006358485668898,-0.0020059607923030853,-0.0018112857360392809,-0.0016166106797754765,-0.001421935623511672,-0.0012272605672478676,-0.0010325855109840631,-0.0008379104547202587,-0.0006432353984564543,-0.00044856034219264984,-0.0002538852859288454,-0.00005921022966504097,0.00013546482659876347,0.0003301398828625679,0.0005248149391263723,0.0007194899953901768,0.0009141650516539812,0.0011088401079177856,0.00130351516418159,0.0014981902204453945,0.001692865276709199,0.0018875403329730034,0.002082215389236808,0.0022768904455006123,0.0024715655017644167,0.002666240558028221,0.0028609156142920256,0.00305559067055583,0.0032502657268196344,0.003444940783083439,0.0036396158393472433,0.0038342908956110477,0.004028965951874852,0.004223641008138657,0.004418316064402461,0.0046129911206662655,0.00480766617693007,0.005002341233193874,0.005197016289457679,0.005391691345721483,0.005586366401985288,0.005781041458249092,0.0059757165145128965,0.006170391570776701,0.006365066627040505,0.00655974168330431,0.006754416739568114,0.006949091795831919]}"
"769","{""_type"":""histogram"",""values"":[1,1,0,1,0,1,0,2,1,4,8,5,8,17,11,10,27,28,27,55,83,89,122,195,231,384,497,688,929,1167,1595,1885,1875,1774,1522,1232,945,778,599,447,357,237,155,122,79,75,40,40,23,19,13,10,7,4,0,4,0,1,0,0,0,0,0,2],""bins"":[-0.008154764771461487,-0.007903354751761071,-0.007651944732060656,-0.0074005347123602405,-0.007149124692659825,-0.00689771467295941,-0.006646304653258994,-0.006394894633558579,-0.006143484613858163,-0.005892074594157748,-0.0056406645744573325,-0.005389254554756917,-0.005137844535056502,-0.004886434515356086,-0.004635024495655671,-0.004383614475955255,-0.00413220445625484,-0.0038807944365544245,-0.003629384416854009,-0.0033779743971535936,-0.003126564377453178,-0.0028751543577527627,-0.0026237443380523473,-0.002372334318351932,-0.0021209242986515164,-0.001869514278951101,-0.0016181042592506856,-0.0013666942395502701,-0.0011152842198498547,-0.0008638742001494393,-0.0006124641804490238,-0.0003610541607486084,-0.00010964414104819298,0.00014176587865222245,0.0003931758983526379,0.0006445859180530533,0.0008959959377534688,0.0011474059574538842,0.0013988159771542996,0.001650225996854715,0.0019016360165551305,0.002153046036255546,0.0024044560559559613,0.0026558660756563768,0.002907276095356792,0.0031586861150572076,0.003410096134757623,0.0036615061544580385,0.003912916174158454,0.004164326193858869,0.004415736213559285,0.0046671462332597,0.004918556252960116,0.005169966272660531,0.0054213762923609465,0.005672786312061362,0.005924196331761777,0.006175606351462193,0.006427016371162608,0.006678426390863024,0.006929836410563439,0.0071812464302638546,0.00743265644996427,0.007684066469664685,0.0079354764893651]}"
"778","{""values"":[1,0,0,0,1,0,0,2,1,1,3,6,7,11,12,17,23,36,53,66,111,193,295,435,619,881,1328,1704,2184,2329,2242,1948,1389,923,609,373,202,152,71,57,41,35,21,14,11,4,1,4,5,1,0,2,1,1,1,2,0,0,1,0,0,0,0,2],""_type"":""histogram"",""bins"":[-0.009112979285418987,-0.008804824741673656,-0.008496670197928324,-0.008188515654182993,-0.007880361110437661,-0.00757220656669233,-0.0072640520229469985,-0.006955897479201667,-0.0066477429354563355,-0.006339588391711004,-0.006031433847965673,-0.005723279304220341,-0.00541512476047501,-0.005106970216729678,-0.004798815672984347,-0.004490661129239015,-0.004182506585493684,-0.0038743520417483523,-0.003566197498003021,-0.0032580429542576894,-0.002949888410512358,-0.0026417338667670265,-0.002333579323021695,-0.0020254247792763636,-0.001717270235531032,-0.0014091156917857006,-0.0011009611480403692,-0.0007928066042950377,-0.0004846520605497062,-0.00017649751680437475,0.0001316570269409567,0.0004398115706862882,0.0007479661144316196,0.0010561206581769511,0.0013642752019222826,0.001672429745667614,0.0019805842894129455,0.002288738833158277,0.0025968933769036084,0.00290504792064894,0.0032132024643942714,0.003521357008139603,0.0038295115518849343,0.004137666095630266,0.004445820639375597,0.004753975183120929,0.00506212972686626,0.005370284270611592,0.005678438814356923,0.005986593358102255,0.006294747901847586,0.0066029024455929175,0.006911056989338249,0.0072192115330835804,0.007527366076828912,0.007835520620574243,0.008143675164319575,0.008451829708064906,0.008759984251810238,0.00906813879555557,0.0093762933393009,0.009684447883046232,0.009992602426791564,0.010300756970536895,0.010608911514282227]}"
"787","{""_type"":""histogram"",""values"":[1,3,2,3,0,4,4,1,9,12,15,14,27,32,41,84,91,106,184,208,245,344,445,607,762,923,1087,1288,1385,1459,1467,1409,1247,1075,876,690,568,444,326,259,171,132,118,61,60,36,25,23,16,9,10,7,4,3,2,2,0,4,1,0,0,0,0,1],""bins"":[-0.005035496316850185,-0.004865588947723154,-0.0046956815785961226,-0.004525774209469091,-0.00435586684034206,-0.004185959471215028,-0.004016052102087997,-0.0038461447329609655,-0.003676237363833934,-0.0035063299947069027,-0.0033364226255798712,-0.00316651525645284,-0.0029966078873258084,-0.002826700518198777,-0.0026567931490717456,-0.002486885779944714,-0.0023169784108176827,-0.0021470710416906513,-0.00197716367256362,-0.0018072563034365885,-0.001637348934309557,-0.0014674415651825257,-0.0012975341960554942,-0.0011276268269284628,-0.0009577194578014314,-0.0007878120886744,-0.0006179047195473686,-0.00044799735042033717,-0.00027808998129330575,-0.00010818261216627434,0.00006172475696075708,0.0002316321260877885,0.0004015394952148199,0.0005714468643418513,0.0007413542334688827,0.0009112616025959142,0.0010811689717229456,0.001251076340849977,0.0014209837099770084,0.0015908910791040398,0.0017607984482310712,0.0019307058173581026,0.002100613186485134,0.0022705205556121655,0.002440427924739197,0.0026103352938662283,0.0027802426629932597,0.002950150032120291,0.0031200574012473226,0.003289964770374354,0.0034598721395013854,0.003629779508628417,0.0037996868777554482,0.00396959424688248,0.004139501616009511,0.0043094089851365425,0.004479316354263574,0.004649223723390605,0.004819131092517637,0.004989038461644668,0.0051589458307716995,0.005328853199898731,0.005498760569025762,0.005668667938152794,0.005838575307279825]}"
