"Step","Conv-Residual-56Layers - gradients/layer3.0.conv1.weight"
"450","{""_type"":""histogram"",""values"":[1,1,0,1,4,1,4,2,4,6,5,14,26,25,27,29,60,93,90,108,156,215,270,347,410,592,736,919,1077,1235,1390,1450,1423,1331,1165,1042,865,716,537,435,370,300,228,169,140,96,74,56,38,39,21,33,17,11,10,3,6,4,0,0,0,2,2,1],""bins"":[-0.005923162680119276,-0.005736690858611837,-0.005550219037104398,-0.005363747215596959,-0.00517727539408952,-0.004990803572582081,-0.004804331751074642,-0.004617859929567203,-0.004431388108059764,-0.004244916286552325,-0.004058444465044886,-0.003871972643537447,-0.003685500822030008,-0.003499029000522569,-0.00331255717901513,-0.003126085357507691,-0.0029396135360002518,-0.0027531417144928128,-0.0025666698929853737,-0.0023801980714779347,-0.0021937262499704957,-0.0020072544284630567,-0.0018207826069556177,-0.0016343107854481786,-0.0014478389639407396,-0.0012613671424333006,-0.0010748953209258616,-0.0008884234994184226,-0.0007019516779109836,-0.0005154798564035445,-0.00032900803489610553,-0.0001425362133886665,0.00004393560811877251,0.00023040742962621152,0.00041687925113365054,0.0006033510726410896,0.0007898228941485286,0.0009762947156559676,0.0011627665371634066,0.0013492383586708456,0.0015357101801782846,0.0017221820016857237,0.0019086538231931627,0.0020951256447006017,0.0022815974662080407,0.0024680692877154797,0.0026545411092229187,0.0028410129307303578,0.003027484752237797,0.003213956573745236,0.003400428395252675,0.003586900216760114,0.003773372038267553,0.003959843859774992,0.004146315681282431,0.00433278750278987,0.004519259324297309,0.004705731145804748,0.004892202967312187,0.005078674788819626,0.005265146610327065,0.005451618431834504,0.005638090253341943,0.005824562074849382,0.006011033896356821]}"
"459","{""_type"":""histogram"",""values"":[3,0,0,0,1,3,7,5,3,8,7,10,8,11,20,20,39,64,72,99,109,164,194,278,382,439,498,636,905,1014,1208,1455,1454,1489,1366,1243,1035,819,703,565,415,328,285,220,163,154,120,86,85,54,42,25,36,24,21,10,9,7,4,3,3,1,0,1],""bins"":[-0.006596599239856005,-0.006398087862180546,-0.006199576484505087,-0.006001065106829628,-0.0058025537291541696,-0.005604042351478711,-0.005405530973803252,-0.005207019596127793,-0.005008508218452334,-0.004809996840776876,-0.004611485463101417,-0.004412974085425958,-0.004214462707750499,-0.0040159513300750405,-0.0038174399523995817,-0.003618928574724123,-0.003420417197048664,-0.0032219058193732053,-0.0030233944416977465,-0.0028248830640222877,-0.002626371686346829,-0.00242786030867137,-0.0022293489309959114,-0.0020308375533204526,-0.0018323261756449938,-0.001633814797969535,-0.0014353034202940762,-0.0012367920426186174,-0.0010382806649431586,-0.0008397692872676998,-0.000641257909592241,-0.00044274653191678226,-0.00024423515424132347,-0.00004572377656586468,0.0001527876011095941,0.0003512989787850529,0.0005498103564605117,0.0007483217341359705,0.0009468331118114293,0.001145344489486888,0.0013438558671623468,0.0015423672448378056,0.0017408786225132644,0.0019393900001887232,0.002137901377864182,0.002336412755539641,0.0025349241332150996,0.0027334355108905584,0.002931946888566017,0.003130458266241476,0.0033289696439169347,0.0035274810215923935,0.0037259923992678523,0.003924503776943311,0.00412301515461877,0.004321526532294229,0.0045200379099696875,0.004718549287645146,0.004917060665320605,0.005115572042996064,0.005314083420671523,0.005512594798346981,0.00571110617602244,0.005909617553697899,0.006108128931373358]}"
"469","{""values"":[1,0,0,0,0,0,0,0,2,2,0,5,10,4,7,11,20,22,18,36,51,74,88,147,175,200,315,422,572,719,969,1184,1423,1645,1835,1735,1506,1285,992,727,600,421,327,230,170,105,100,75,43,39,24,29,19,7,10,8,5,5,3,0,4,2,2,2],""_type"":""histogram"",""bins"":[-0.00876450352370739,-0.008512005711963866,-0.008259507900220342,-0.008007010088476818,-0.007754512276733294,-0.00750201446498977,-0.007249516653246246,-0.006997018841502722,-0.006744521029759198,-0.0064920232180156745,-0.006239525406272151,-0.005987027594528627,-0.005734529782785103,-0.005482031971041579,-0.005229534159298055,-0.004977036347554531,-0.004724538535811007,-0.004472040724067483,-0.004219542912323959,-0.003967045100580435,-0.0037145472888369113,-0.0034620494770933874,-0.0032095516653498635,-0.0029570538536063395,-0.0027045560418628156,-0.0024520582301192917,-0.0021995604183757678,-0.0019470626066322438,-0.00169456479488872,-0.001442066983145196,-0.001189569171401672,-0.0009370713596581481,-0.0006845735479146242,-0.0004320757361711003,-0.00017957792442757636,0.00007291988731594756,0.0003254176990594715,0.0005779155108029954,0.0008304133225465193,0.0010829111342900433,0.0013354089460335672,0.0015879067577770911,0.001840404569520615,0.002092902381264139,0.002345400193007663,0.002597898004751187,0.0028503958164947107,0.0031028936282382347,0.0033553914399817586,0.0036078892517252825,0.0038603870634688064,0.00411288487521233,0.004365382686955854,0.004617880498699378,0.004870378310442902,0.005122876122186426,0.00537537393392995,0.005627871745673474,0.005880369557416998,0.006132867369160522,0.006385365180904046,0.00663786299264757,0.0068903608043910936,0.0071428586161346175,0.007395356427878141]}"
"478","{""_type"":""histogram"",""values"":[3,1,1,0,4,4,6,6,5,10,16,10,19,36,35,44,67,69,110,155,223,243,351,490,613,861,1034,1307,1439,1627,1629,1500,1340,1174,893,689,570,382,359,273,201,169,122,91,78,51,30,26,17,16,9,6,5,4,1,1,3,1,0,1,1,0,0,1],""bins"":[-0.006280679255723953,-0.006071479539969005,-0.005862279824214056,-0.005653080108459108,-0.005443880392704159,-0.0052346806769492105,-0.005025480961194262,-0.004816281245439313,-0.004607081529684365,-0.004397881813929416,-0.004188682098174468,-0.003979482382419519,-0.0037702826666645706,-0.003561082950909622,-0.0033518832351546735,-0.003142683519399725,-0.0029334838036447763,-0.002724284087889828,-0.0025150843721348792,-0.0023058846563799307,-0.002096684940624982,-0.0018874852248700336,-0.001678285509115085,-0.0014690857933601364,-0.001259886077605188,-0.0010506863618502393,-0.0008414866460952908,-0.0006322869303403422,-0.00042308721458539367,-0.0002138874988304451,-0.000004687783075496554,0.000204511932679452,0.00041371164843440056,0.0006229113641893491,0.0008321110799442977,0.0010413107956992462,0.0012505105114541948,0.0014597102272091433,0.001668909942964092,0.0018781096587190405,0.002087309374473989,0.0022965090902289376,0.002505708805983886,0.0027149085217388347,0.0029241082374937832,0.003133307953248732,0.0033425076690036803,0.003551707384758629,0.0037609071005135775,0.003970106816268526,0.004179306532023475,0.004388506247778423,0.004597705963533372,0.00480690567928832,0.005016105395043269,0.005225305110798217,0.005434504826553166,0.0056437045423081145,0.005852904258063063,0.006062103973818012,0.00627130368957296,0.006480503405327909,0.006689703121082857,0.006898902836837806,0.007108102552592754]}"
"487","{""values"":[2,0,0,2,3,0,2,0,2,3,9,8,6,7,10,13,18,33,43,45,71,78,120,161,187,284,325,485,573,715,908,1039,1267,1425,1498,1492,1315,1233,1070,843,684,541,425,350,262,202,177,130,110,72,37,31,26,27,24,11,13,6,1,2,3,0,1,2],""_type"":""histogram"",""bins"":[-0.007550560869276524,-0.007334406531299464,-0.007118252193322405,-0.006902097855345346,-0.006685943517368287,-0.006469789179391228,-0.0062536348414141685,-0.006037480503437109,-0.00582132616546005,-0.005605171827482991,-0.005389017489505932,-0.0051728631515288725,-0.004956708813551813,-0.004740554475574754,-0.004524400137597695,-0.004308245799620636,-0.004092091461643577,-0.0038759371236665174,-0.0036597827856894583,-0.003443628447712399,-0.00322747410973534,-0.0030113197717582807,-0.0027951654337812215,-0.0025790110958041623,-0.002362856757827103,-0.002146702419850044,-0.0019305480818729848,-0.0017143937438959256,-0.0014982394059188664,-0.0012820850679418072,-0.001065930729964748,-0.0008497763919876888,-0.0006336220540106297,-0.00041746771603357047,-0.00020131337805651128,0.000014840959920547903,0.0002309952978976071,0.0004471496358746663,0.0006633039738517255,0.0008794583118287846,0.0010956126498058438,0.001311766987782903,0.0015279213257599622,0.0017440756637370214,0.0019602300017140806,0.0021763843396911398,0.002392538677668199,0.002608693015645258,0.0028248473536223173,0.0030410016915993765,0.0032571560295764357,0.003473310367553495,0.003689464705530554,0.0039056190435076132,0.004121773381484672,0.004337927719461732,0.004554082057438791,0.00477023639541585,0.004986390733392909,0.005202545071369968,0.0054186994093470275,0.005634853747324087,0.005851008085301146,0.006067162423278205,0.006283316761255264]}"
"497","{""_type"":""histogram"",""values"":[1,0,0,0,1,2,1,7,8,10,15,14,29,31,44,54,91,93,123,167,217,289,382,512,627,768,1028,1183,1387,1586,1496,1498,1304,1114,902,766,595,470,343,305,256,170,128,111,73,62,40,32,23,21,14,9,9,7,4,0,4,2,1,1,0,0,0,2],""bins"":[-0.007537861820310354,-0.007287304200872313,-0.007036746581434272,-0.006786188961996231,-0.00653563134255819,-0.006285073723120149,-0.006034516103682108,-0.005783958484244067,-0.005533400864806026,-0.005282843245367985,-0.005032285625929944,-0.004781728006491903,-0.004531170387053862,-0.004280612767615821,-0.00403005514817778,-0.003779497528739739,-0.003528939909301698,-0.003278382289863657,-0.003027824670425616,-0.002777267050987575,-0.002526709431549534,-0.002276151812111493,-0.002025594192673452,-0.0017750365732354112,-0.0015244789537973702,-0.0012739213343593292,-0.0010233637149212882,-0.0007728060954832472,-0.0005222484760452062,-0.0002716908566071652,-0.000021133237169124186,0.00022942438226891682,0.0004799820017069578,0.0007305396211449988,0.0009810972405830398,0.0012316548600210808,0.0014822124794591218,0.0017327700988971628,0.001983327718335204,0.002233885337773245,0.002484442957211286,0.002735000576649327,0.002985558196087368,0.003236115815525409,0.00348667343496345,0.003737231054401491,0.003987788673839532,0.004238346293277573,0.004488903912715614,0.004739461532153655,0.004990019151591696,0.005240576771029737,0.005491134390467778,0.005741692009905819,0.00599224962934386,0.006242807248781901,0.006493364868219942,0.006743922487657983,0.006994480107096024,0.007245037726534065,0.007495595345972106,0.007746152965410147,0.007996710584848188,0.008247268204286229,0.00849782582372427]}"
"506","{""_type"":""histogram"",""values"":[1,1,0,4,1,1,6,4,3,9,9,6,14,23,27,32,50,64,93,110,148,181,217,281,349,461,595,770,838,1065,1160,1393,1413,1514,1445,1172,1000,844,744,527,422,342,255,200,140,121,95,64,56,46,35,30,10,7,8,5,6,3,1,3,4,0,1,3],""bins"":[-0.005728463176637888,-0.005556068572332151,-0.0053836739680264145,-0.005211279363720678,-0.005038884759414941,-0.004866490155109204,-0.004694095550803468,-0.004521700946497731,-0.004349306342191994,-0.0041769117378862575,-0.004004517133580521,-0.003832122529274784,-0.0036597279249690473,-0.0034873333206633106,-0.003314938716357574,-0.003142544112051837,-0.0029701495077461004,-0.0027977549034403637,-0.002625360299134627,-0.0024529656948288903,-0.0022805710905231535,-0.002108176486217417,-0.00193578188191168,-0.0017633872776059434,-0.0015909926733002067,-0.00141859806899447,-0.0012462034646887332,-0.0010738088603829965,-0.0009014142560772598,-0.0007290196517715231,-0.0005566250474657863,-0.0003842304431600496,-0.0002118358388543129,-0.000039441234548576176,0.00013295336975716054,0.00030534797406289726,0.000477742578368634,0.0006501371826743707,0.0008225317869801074,0.0009949263912858441,0.0011673209955915809,0.0013397155998973176,0.0015121102042030543,0.001684504808508791,0.0018568994128145278,0.0020292940171202645,0.002201688621426001,0.002374083225731738,0.0025464778300374746,0.0027188724343432114,0.002891267038648948,0.003063661642954685,0.0032360562472604215,0.0034084508515661582,0.003580845455871895,0.0037532400601776317,0.003925634664483368,0.004098029268789105,0.004270423873094842,0.0044428184774005786,0.004615213081706315,0.004787607686012052,0.004960002290317789,0.0051323968946235254,0.005304791498929262]}"
"515","{""values"":[1,0,0,1,4,0,3,1,5,6,10,16,19,17,31,48,66,74,106,143,213,302,417,511,703,915,1076,1385,1577,1684,1716,1504,1341,1047,914,661,535,340,275,225,162,101,83,56,41,22,22,12,11,8,5,2,3,2,2,1,2,0,0,2,1,1,0,1],""_type"":""histogram"",""bins"":[-0.006287876050919294,-0.006076397556171287,-0.005864919061423279,-0.005653440566675272,-0.005441962071927264,-0.005230483577179257,-0.005019005082431249,-0.004807526587683242,-0.004596048092935234,-0.004384569598187227,-0.004173091103439219,-0.003961612608691212,-0.0037501341139432043,-0.0035386556191951968,-0.0033271771244471893,-0.0031156986296991818,-0.0029042201349511743,-0.0026927416402031668,-0.0024812631454551592,-0.0022697846507071517,-0.0020583061559591442,-0.0018468276612111367,-0.0016353491664631292,-0.0014238706717151217,-0.0012123921769671142,-0.0010009136822191067,-0.0007894351874710992,-0.0005779566927230917,-0.0003664781979750842,-0.00015499970322707668,0.00005647879152093083,0.00026795728626893833,0.00047943578101694584,0.0006909142757649533,0.0009023927705129609,0.0011138712652609684,0.0013253497600089759,0.0015368282547569834,0.0017483067495049909,0.0019597852442529984,0.002171263739001006,0.0023827422337490134,0.002594220728497021,0.0028056992232450284,0.003017177717993036,0.0032286562127410434,0.003440134707489051,0.0036516132022370584,0.003863091696985066,0.0040745701917330734,0.004286048686481081,0.0044975271812290885,0.004709005675977096,0.0049204841707251035,0.005131962665473111,0.0053434411602211185,0.005554919654969126,0.0057663981497171335,0.005977876644465141,0.0061893551392131485,0.006400833633961156,0.0066123121287091635,0.006823790623457171,0.0070352691182051785,0.007246747612953186]}"
"524","{""_type"":""histogram"",""values"":[1,0,1,0,0,0,1,1,2,2,1,2,6,8,4,21,18,34,42,69,97,119,190,240,286,379,512,696,850,1050,1181,1399,1503,1546,1476,1327,1165,936,695,643,457,397,265,200,161,130,69,61,61,23,37,22,24,9,3,5,2,2,0,0,0,0,0,1],""bins"":[-0.007007361389696598,-0.006796229776227847,-0.006585098162759095,-0.006373966549290344,-0.006162834935821593,-0.0059517033223528415,-0.00574057170888409,-0.005529440095415339,-0.0053183084819465876,-0.005107176868477836,-0.004896045255009085,-0.004684913641540334,-0.004473782028071582,-0.004262650414602831,-0.00405151880113408,-0.0038403871876653284,-0.003629255574196577,-0.0034181239607278258,-0.0032069923472590744,-0.002995860733790323,-0.002784729120321572,-0.0025735975068528205,-0.002362465893384069,-0.002151334279915318,-0.0019402026664465666,-0.0017290710529778153,-0.001517939439509064,-0.0013068078260403126,-0.0010956762125715613,-0.00088454459910281,-0.0006734129856340587,-0.0004622813721653074,-0.0002511497586965561,-0.00004001814522780478,0.00017111346824094653,0.00038224508170969784,0.0005933766951784492,0.0008045083086472005,0.0010156399221159518,0.001226771535584703,0.0014379031490534544,0.0016490347625222057,0.001860166375990957,0.0020712979894597083,0.0022824296029284596,0.002493561216397211,0.0027046928298659623,0.0029158244433347136,0.003126956056803465,0.003338087670272216,0.0035492192837409675,0.003760350897209719,0.00397148251067847,0.0041826141241472214,0.004393745737615973,0.004604877351084724,0.004816008964553475,0.005027140578022227,0.005238272191490978,0.005449403804959729,0.005660535418428481,0.005871667031897232,0.006082798645365983,0.0062939302588347346,0.006505061872303486]}"
"535","{""values"":[1,0,1,0,0,1,2,1,5,7,7,8,9,14,20,28,36,50,55,108,93,129,166,228,290,379,485,576,742,902,1090,1247,1343,1402,1403,1321,1191,998,812,659,556,451,358,279,250,157,146,116,84,63,44,25,23,14,11,14,4,10,7,5,3,2,0,1],""_type"":""histogram"",""bins"":[-0.006557253189384937,-0.006363280685036443,-0.006169308180687949,-0.005975335676339455,-0.005781363171990961,-0.005587390667642467,-0.005393418163293973,-0.0051994456589454785,-0.005005473154596984,-0.00481150065024849,-0.004617528145899996,-0.004423555641551502,-0.004229583137203008,-0.004035610632854514,-0.0038416381285060197,-0.0036476656241575256,-0.0034536931198090315,-0.0032597206154605374,-0.0030657481111120433,-0.002871775606763549,-0.002677803102415055,-0.002483830598066561,-0.002289858093718067,-0.0020958855893695727,-0.0019019130850210786,-0.0017079405806725845,-0.0015139680763240904,-0.0013199955719755962,-0.0011260230676271021,-0.000932050563278608,-0.0007380780589301139,-0.0005441055545816198,-0.0003501330502331257,-0.00015616054588463157,0.00003781195846386254,0.00023178446281235665,0.00042575696716085076,0.0006197294715093449,0.000813701975857839,0.001007674480206333,0.0012016469845548272,0.0013956194889033213,0.0015895919932518154,0.0017835644976003096,0.0019775370019488037,0.0021715095062972978,0.002365482010645792,0.002559454514994286,0.00275342701934278,0.0029473995236912742,0.0031413720280397683,0.0033353445323882625,0.0035293170367367566,0.0037232895410852507,0.003917262045433745,0.004111234549782239,0.004305207054130733,0.004499179558479227,0.004693152062827721,0.004887124567176215,0.0050810970715247095,0.005275069575873204,0.005469042080221698,0.005663014584570192,0.005856987088918686]}"
"544","{""values"":[1,0,0,0,3,1,3,4,1,2,5,9,8,15,23,28,35,50,52,83,87,125,179,216,251,351,436,559,653,826,959,1199,1263,1308,1407,1337,1231,1113,905,783,667,466,422,287,256,206,158,97,96,69,46,47,17,24,17,13,8,4,8,1,6,3,1,2],""_type"":""histogram"",""bins"":[-0.007523767650127411,-0.007305301995074842,-0.007086836340022273,-0.006868370684969705,-0.006649905029917136,-0.006431439374864567,-0.006212973719811998,-0.0059945080647594295,-0.005776042409706861,-0.005557576754654292,-0.005339111099601723,-0.0051206454445491545,-0.004902179789496586,-0.004683714134444017,-0.004465248479391448,-0.0042467828243388794,-0.004028317169286311,-0.003809851514233742,-0.003591385859181173,-0.0033729202041286044,-0.0031544545490760356,-0.002935988894023467,-0.002717523238970898,-0.0024990575839183293,-0.0022805919288657606,-0.002062126273813192,-0.001843660618760623,-0.0016251949637080543,-0.0014067293086554855,-0.0011882636536029167,-0.000969797998550348,-0.0007513323434977792,-0.0005328666884452105,-0.0003144010333926417,-0.00009593537834007293,0.00012253027671249583,0.0003409959317650646,0.0005594615868176334,0.0007779272418702021,0.0009963928969227709,0.0012148585519753397,0.0014333242070279084,0.0016517898620804772,0.001870255517133046,0.0020887211721856147,0.0023071868272381835,0.0025256524822907522,0.002744118137343321,0.0029625837923958898,0.0031810494474484585,0.0033995151025010273,0.003617980757553596,0.003836446412606165,0.004054912067658734,0.004273377722711302,0.004491843377763871,0.00471030903281644,0.004928774687869009,0.005147240342921577,0.005365705997974146,0.005584171653026715,0.005802637308079284,0.0060211029631318524,0.006239568618184421,0.00645803427323699]}"
"553","{""values"":[1,0,0,0,1,0,0,0,0,0,0,3,3,4,1,3,8,8,4,16,22,34,47,71,105,92,150,199,288,397,524,649,803,1004,1311,1472,1639,1672,1482,1432,1095,924,706,599,428,330,241,169,136,101,66,57,34,31,15,17,9,12,3,4,6,2,1,1],""_type"":""histogram"",""bins"":[-0.008648195303976536,-0.008416181219217833,-0.00818416713445913,-0.007952153049700428,-0.007720138964941725,-0.0074881248801830225,-0.00725611079542432,-0.007024096710665617,-0.0067920826259069145,-0.006560068541148212,-0.006328054456389509,-0.0060960403716308065,-0.005864026286872104,-0.005632012202113401,-0.0053999981173546985,-0.005167984032595996,-0.004935969947837293,-0.0047039558630785905,-0.004471941778319888,-0.004239927693561185,-0.0040079136088024825,-0.00377589952404378,-0.003543885439285077,-0.0033118713545263745,-0.003079857269767672,-0.002847843185008969,-0.0026158291002502665,-0.002383815015491564,-0.002151800930732861,-0.0019197868459741585,-0.0016877727612154558,-0.0014557586764567532,-0.0012237445916980505,-0.0009917305069393478,-0.0007597164221806452,-0.0005277023374219425,-0.00029568825266323984,-0.00006367416790453717,0.0001683399168541655,0.00040035400161286816,0.0006323680863715708,0.0008643821711302735,0.0010963962558889762,0.0013284103406476788,0.0015604244254063815,0.0017924385101650842,0.002024452594923787,0.0022564666796824895,0.002488480764441192,0.002720494849199895,0.0029525089339585975,0.0031845230187173,0.003416537103476003,0.0036485511882347055,0.003880565272993408,0.004112579357752111,0.0043445934425108135,0.004576607527269516,0.004808621612028219,0.0050406356967869215,0.005272649781545624,0.005504663866304327,0.0057366779510630295,0.005968692035821732,0.006200706120580435]}"
"563","{""_type"":""histogram"",""values"":[1,0,0,0,1,0,1,2,0,4,1,4,4,4,8,15,10,17,26,23,46,53,89,105,117,204,286,362,505,602,756,1014,1287,1411,1603,1590,1521,1324,1216,972,738,609,441,365,260,205,165,119,92,65,38,32,39,23,17,9,13,6,6,0,2,0,2,2],""bins"":[-0.008745848201215267,-0.008499218951328658,-0.008252589701442048,-0.008005960451555438,-0.007759331201668829,-0.007512701951782219,-0.0072660727018956095,-0.007019443452009,-0.00677281420212239,-0.006526184952235781,-0.006279555702349171,-0.006032926452462561,-0.005786297202575952,-0.005539667952689342,-0.005293038702802733,-0.005046409452916123,-0.004799780203029513,-0.004553150953142904,-0.004306521703256294,-0.0040598924533696845,-0.003813263203483075,-0.0035666339535964653,-0.0033200047037098557,-0.003073375453823246,-0.0028267462039366364,-0.002580116954050027,-0.0023334877041634172,-0.0020868584542768076,-0.001840229204390198,-0.0015935999545035884,-0.0013469707046169788,-0.0011003414547303692,-0.0008537122048437595,-0.0006070829549571499,-0.0003604537050705403,-0.0001138244551839307,0.00013280479470267892,0.00037943404458928853,0.0006260632944758981,0.0008726925443625078,0.0011193217942491174,0.001365951044135727,0.0016125802940223366,0.0018592095439089462,0.002105838793795556,0.0023524680436821654,0.002599097293568775,0.0028457265434553847,0.0030923557933419943,0.003338985043228604,0.0035856142931152135,0.003832243543001823,0.004078872792888433,0.004325502042775042,0.004572131292661652,0.004818760542548262,0.005065389792434871,0.005312019042321481,0.00555864829220809,0.0058052775420947,0.00605190679198131,0.006298536041867919,0.006545165291754529,0.0067917945416411385,0.007038423791527748]}"
"572","{""values"":[2,0,2,0,1,2,0,2,6,4,8,12,15,25,26,35,49,89,68,90,118,190,263,320,390,505,613,737,936,1087,1240,1351,1532,1448,1275,1187,955,815,645,512,397,324,260,190,160,125,102,77,56,53,33,26,14,17,13,8,8,4,4,2,0,3,0,1],""_type"":""histogram"",""bins"":[-0.006985697895288467,-0.006772359207388945,-0.0065590205194894224,-0.0063456818315899,-0.0061323431436903775,-0.005919004455790855,-0.0057056657678913325,-0.00549232707999181,-0.0052789883920922875,-0.005065649704192765,-0.004852311016293243,-0.00463897232839372,-0.004425633640494198,-0.004212294952594675,-0.003998956264695153,-0.00378561757679563,-0.0035722788888961077,-0.003358940200996585,-0.0031456015130970627,-0.0029322628251975402,-0.0027189241372980177,-0.0025055854493984953,-0.0022922467614989728,-0.0020789080735994503,-0.0018655693856999278,-0.0016522306978004053,-0.0014388920099008828,-0.0012255533220013604,-0.0010122146341018379,-0.0007988759462023154,-0.0005855372583027929,-0.0003721985704032704,-0.00015885988250374794,0.00005447880539577454,0.000267817493295297,0.0004811561811948195,0.000694494869094342,0.0009078335569938645,0.001121172244893387,0.0013345109327929094,0.001547849620692432,0.0017611883085919544,0.001974526996491477,0.0021878656843909994,0.002401204372290522,0.0026145430601900443,0.002827881748089567,0.0030412204359890893,0.003254559123888612,0.0034678978117881343,0.0036812364996876568,0.0038945751875871792,0.004107913875486702,0.004321252563386224,0.004534591251285747,0.004747929939185269,0.004961268627084792,0.005174607314984314,0.005387946002883837,0.005601284690783359,0.005814623378682882,0.006027962066582404,0.0062413007544819266,0.006454639442381449,0.0066679781302809715]}"
"581","{""values"":[3,0,2,3,4,4,7,7,4,9,13,21,21,29,44,57,80,110,124,161,224,279,404,421,611,803,932,1057,1186,1328,1401,1336,1213,1091,1002,812,690,615,471,414,268,240,214,136,116,91,80,75,39,40,37,27,20,15,7,6,5,3,5,7,3,2,0,3],""_type"":""histogram"",""bins"":[-0.006256205961108208,-0.006054087956727017,-0.005851969952345826,-0.005649851947964635,-0.005447733943583444,-0.005245615939202253,-0.005043497934821062,-0.004841379930439871,-0.00463926192605868,-0.004437143921677489,-0.004235025917296298,-0.004032907912915107,-0.003830789908533916,-0.003628671904152725,-0.003426553899771534,-0.003224435895390343,-0.003022317891009152,-0.002820199886627961,-0.00261808188224677,-0.002415963877865579,-0.002213845873484388,-0.002011727869103197,-0.001809609864722006,-0.001607491860340815,-0.001405373855959624,-0.001203255851578433,-0.001001137847197242,-0.0007990198428160511,-0.0005969018384348601,-0.0003947838340536691,-0.00019266582967247814,0.000009452174708712846,0.00021157017908990383,0.0004136881834710948,0.0006158061878522858,0.0008179241922334768,0.0010200421966146678,0.0012221602009958588,0.0014242782053770497,0.0016263962097582407,0.0018285142141394317,0.0020306322185206227,0.0022327502229018137,0.0024348682272830047,0.0026369862316641957,0.0028391042360453866,0.0030412222404265776,0.0032433402448077686,0.0034454582491889596,0.0036475762535701506,0.0038496942579513416,0.0040518122623325326,0.0042539302667137235,0.0044560482710949145,0.0046581662754761055,0.0048602842798572965,0.0050624022842384875,0.0052645202886196785,0.0054666382930008695,0.0056687562973820604,0.005870874301763251,0.006072992306144442,0.006275110310525633,0.006477228314906824,0.006679346319288015]}"
"590","{""values"":[1,0,0,3,2,3,3,5,7,4,5,15,21,26,36,46,70,66,109,133,203,229,311,348,461,616,700,840,1049,1181,1295,1394,1356,1252,1156,1029,858,727,617,451,369,363,243,170,140,124,93,75,56,41,38,30,19,13,7,7,3,0,6,3,2,1,0,1],""_type"":""histogram"",""bins"":[-0.0069924890995025635,-0.006774427922209725,-0.006556366744916886,-0.006338305567624047,-0.006120244390331209,-0.00590218321303837,-0.005684122035745531,-0.005466060858452693,-0.005247999681159854,-0.005029938503867015,-0.0048118773265741765,-0.004593816149281338,-0.004375754971988499,-0.0041576937946956605,-0.003939632617402822,-0.003721571440109983,-0.0035035102628171444,-0.0032854490855243057,-0.003067387908231467,-0.0028493267309386283,-0.0026312655536457896,-0.002413204376352951,-0.0021951431990601122,-0.0019770820217672735,-0.0017590208444744349,-0.0015409596671815962,-0.0013228984898887575,-0.0011048373125959188,-0.0008867761353030801,-0.0006687149580102414,-0.0004506537807174027,-0.000232592603424564,-0.000014531426131725311,0.00020352975116111338,0.0004215909284539521,0.0006396521057467908,0.0008577132830396295,0.0010757744603324682,0.0012938356376253068,0.0015118968149181455,0.0017299579922109842,0.001948019169503823,0.0021660803467966616,0.0023841415240895003,0.002602202701382339,0.0028202638786751777,0.0030383250559680164,0.003256386233260855,0.0034744474105536938,0.0036925085878465325,0.003910569765139371,0.00412863094243221,0.0043466921197250485,0.004564753297017887,0.004782814474310726,0.005000875651603565,0.005218936828896403,0.005436998006189242,0.005655059183482081,0.005873120360774919,0.006091181538067758,0.006309242715360597,0.0065273038926534355,0.006745365069946274,0.006963426247239113]}"
"600","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,2,4,4,2,6,5,5,8,13,13,21,32,37,39,64,88,102,142,171,238,325,377,568,690,846,1151,1345,1417,1559,1593,1477,1288,1034,866,658,545,403,327,247,198,135,111,70,56,50,22,27,15,4,7,8,3,4,2,3,2,1,1],""bins"":[-0.008650300092995167,-0.008403117601119447,-0.008155935109243728,-0.007908752617368009,-0.00766157012549229,-0.00741438763361657,-0.007167205141740851,-0.006920022649865132,-0.0066728401579894125,-0.006425657666113693,-0.006178475174237974,-0.005931292682362255,-0.005684110190486535,-0.005436927698610816,-0.005189745206735097,-0.004942562714859378,-0.004695380222983658,-0.004448197731107939,-0.00420101523923222,-0.0039538327473565005,-0.003706650255480781,-0.003459467763605062,-0.0032122852717293426,-0.0029651027798536234,-0.002717920287977904,-0.002470737796102185,-0.0022235553042264655,-0.0019763728123507462,-0.001729190320475027,-0.0014820078285993077,-0.0012348253367235884,-0.0009876428448478691,-0.0007404603529721498,-0.0004932778610964306,-0.0002460953692207113,0.0000010871226550079882,0.00024826961453072727,0.0004954521064064465,0.0007426345982821658,0.000989817090157885,0.0012369995820336044,0.0014841820739093237,0.001731364565785043,0.0019785470576607622,0.0022257295495364815,0.0024729120414122008,0.00272009453328792,0.0029672770251636393,0.0032144595170393586,0.003461642008915078,0.003708824500790797,0.0039560069926665165,0.004203189484542236,0.004450371976417955,0.004697554468293674,0.004944736960169394,0.005191919452045113,0.005439101943920832,0.005686284435796551,0.005933466927672271,0.00618064941954799,0.006427831911423709,0.0066750144032994285,0.006922196895175148,0.007169379387050867]}"
